translationKey,sourceValue,overrideValue
input.From_Date,From Date,From Date
column.Sub_County,Sub County,Sub County
menu_item.menu,Menu,Menu
reportstableheading.Enterprise_Summary_Report,Enterprise Summary Report,Enterprise Summary Report
result.config_not_found,Config setting not found.,Config setting not found.
Select_Delivery_Status,Select Delivery Status,Select Delivery Status
reports_voucherid.Voucher_ID,Voucher ID,Voucher ID
label.paid_On,Paid On,Paid On
view_heading.view_extension_officer_profile,View Agent profile,View Agent profile
alert.voucher.redeem_success,Voucher/s {fVoucherCodeSuccess} successfully redeemed.,Voucher/s {fVoucherCodeSuccess} successfully redeemed.
alert.object.voucher_batch_request_code_exists,Request code {fAttributeName} already in user by another Voucher Batch,Request code {fAttributeName} already in user by another Voucher Batch
label.Stock_Status,Stock Status,Stock Status
reportsviewheading.Voucher_codes_sent,Voucher codes sent,Voucher codes sent
enum.ORDER_STATUS.Received,Received,Received
custom_header.reportsgenerictemplate_column_int7,{ReportsGenericViewerLabels:column_int7},{ReportsGenericViewerLabels:column_int7}
custom_header.crop76,{DashboardUtil:uCrop76},{DashboardUtil:uCrop76}
table_column_heading.location_level_nine,location_level_nine,location_level_nine
label.payment_code,Payment code,Payment code
column_heading.farmer.locationlevel5,locationlevel5,locationlevel5
column_heading.status,Status,Status
column.Object_Description,Object Description,Object Description
button.top_up,Top up,Top up
view_heading.view_deposits_orders,View Deposited Orders,View Deposited Orders
column.date_created,Date created,Date created
view_heading.Opt_-_Out_Numbers,Opt - Out Numbers,Opt - Out Numbers
column_heading.GroupType,GroupType,GroupType
button.view,View,View
button.All_Location_Hierarchy,All Location Hierarchy,All Location Hierarchy
input.Comment,Comment,Comment
table_heading.sms_logs,Sms logs,Sms logs
custom_header.crop71,{DashboardUtil:uCrop71},{DashboardUtil:uCrop71}
view_heading.assign_mobile_user_to_group,Assign mobile user to group,Assign mobile user to group
column_heading.qualifiedName,QualifiedName,QualifiedName
view_heading.create_Internal_Support,Create Internal Support,Create Internal Support
view_heading.view_farmer_recruitment,View customer recruitment,View customer recruitment
label.Enterprise_Ownership,Enterprise Ownership,Enterprise Ownership
alert.comment.success,Your comment has been added,Your comment has been added
custom_header.hierarchy_level_four,{LocationsHierarchy:uLocationLevelFour},{LocationsHierarchy:uLocationLevelFour}
view_heading.task_management,Task management,Task management
label.Default_Descriptions,Default Descriptions,Default Descriptions
alert.farmer.mobile_number_null,Customer mobile number is null,Customer mobile number is null
reports_subcounty.Sub_county,Sub county,Sub county
column_heading.farmer_location,Customer location,Customer location
view_heading.capture_stock_transaction,Capture stock transaction,Capture stock transaction
view_heading.Voucher_Batch_Crops,Voucher Batch Criteria,Voucher Batch Criteria
alert.object.voucher_batch_no_template,"Please select a Voucher Template. If none exist, please create Voucher Templates first.","Please select a Voucher Template. If none exist, please create Voucher Templates first."
button.FilterByParameters,FilterByParameters,FilterByParameters
confirm_body.remove_role,Are you sure you would like to remove this Report from this Role?,Are you sure you would like to remove this Report from this Role?
column_heading.first_name,First name,First name
view_heading.manage_role_group_profile,Manage role group profile,Manage role group profile
button.filter_crops,Filter Criteria,Filter Criteria
result.config_value_not_set,Config value not set.,Config value not set.
table_heading.StringGroups,StringGroups,StringGroups
label.Include_Parent,Include Parent,Include Parent
label.sms_content,Sms content,Sms content
label.redeemed_total,Redeemed total,Redeemed total
column_heading.order,Order,Order
custom_header.crop8,{DashboardUtil:uCrop8},{DashboardUtil:uCrop8}
column.Destination_Account,Destination Account,Destination Account
stringgroup.Translation,Translation,Translation
reportsviewheading.Products_Redeemed_Report,Products Redeemed Report,Products Redeemed Report
custom_header.crop64,{DashboardUtil:uCrop64},{DashboardUtil:uCrop64}
column.last_name,Last name,Last name
custom_header.reportsgenerictemplate_column_string2,{ReportsGenericViewerLabels:column_string2},{ReportsGenericViewerLabels:column_string2}
alert.farmer_crop_verfied,Customer Criterion Verified,Customer Criterion Verified
view_heading.Manage_Settings,Manage Settings,Manage Settings
custom_header.stock_units,units,units
label.nok_relationship_type,Nok relationship type,Nok relationship type
heading.System_Initiators,System Initiators,System Initiators
custom_header.stock_current_cost_price,current_cost_price,current_cost_price
column_heading.Customer_Name,Customer Name,Customer Name
error.existing_user_group,This group already exists.,This group already exists.
label.leased_lr_number,Leased lr number,Leased lr number
label.payment_Code,Payment Code,Payment Code
column.start,Start,Start
table_heading.Mobile_User_Details,Mobile User Details,Mobile User Details
table_heading.Agro_Dealer_Transaction_Fee_History,Retailer Transaction Fee History,Retailer Transaction Fee History
label.payment_Preference,Payment Preference,Payment Preference
alert.object.activated,{uObjectName} active status changed.,{uObjectName} active status changed.
column.Account_Name,Account Name,Account Name
reports_utilizedorredeemedksh.Utilized_or_Redeemed_(Ksh),Utilized or Redeemed (Ksh),Utilized or Redeemed (Ksh)
column_heading.voucher_batch_requestcode,Voucher batch requestcode,Voucher batch requestcode
label.Request_Code,Request Code,Request Code
column.stock_name,Stock Name,Stock Name
custom_header.crop36,{DashboardUtil:uCrop36},{DashboardUtil:uCrop36}
custom_header.crop54,{DashboardUtil:uCrop54},{DashboardUtil:uCrop54}
reports_totalhandlingcostksh.Total_handling_cost_(Ksh),Total handling cost (Ksh),Total handling cost (Ksh)
button.Save,Save,Save
column.crop,Criterion,Criterion
string_label._Function_name,Function name,Function name
column_heading.Processed_Time,Processed Time,Processed Time
button.Invalid_Uploads,Invalid Uploads,Invalid Uploads
table_title.identification_types,Identification types,Identification types
menu_item.ServicePointType,ServicePointType,ServicePointType
custom_header.crop31,{DashboardUtil:uCrop31},{DashboardUtil:uCrop31}
column_heading.crop,Criterion,Criterion
view_heading.create_Location,Create Location,Create Location
view_heading.view_institute_config,View institute config,View institute config
column.Voucher_Batch,Voucher Batch,Voucher Batch
custom_header.crop47,{DashboardUtil:uCrop47},{DashboardUtil:uCrop47}
column.processed,Processed,Processed
reports_allocationorbudgetksh.Allocation_or_Budget_(Ksh),Allocation or Budget (Ksh),Allocation or Budget (Ksh)
alert_error.duplicate_farmer_csv,Customer with mobile number already exists. Additional Criteria can be captured during registration.,Customer with mobile number already exists. Additional Criteria can be captured during registration.
column.Date_Redeemed,Date Redeemed,Date Redeemed
column.Last_Connected,Last Connected,Last Connected
column_heading.location_level_eight,Level 8,Level 8
alert_error.empty_field,{uFieldName} is empty.,{uFieldName} is empty.
sms_alert.new_role_registration,New role registration completed successfully.,New role registration completed successfully.
custom_header.reportsgenerictemplate_column_int3,{ReportsGenericViewerLabels:column_int3},{ReportsGenericViewerLabels:column_int3}
label.date_synced,Date synced,Date synced
custom_header.crop93,{DashboardUtil:uCrop93},{DashboardUtil:uCrop93}
error.location_level_seven,Level 7 cannot be empty,Level 7 cannot be empty
info.messageCommand,MessageCommand,MessageCommand
alert.uploadfile.confirmprocessbodyquick,Please confirm that you wish to process this file immediately?,Please confirm that you wish to process this file immediately?
button_heading.Confirm_Deposit,Confirm Deposit,Confirm Deposit
input.recipient(s),Recipient(s),Recipient(s)
custom_header.location_level_nine,{UploadLocations:uLocationLevelNine},{UploadLocations:uLocationLevelNine}
button.verify,Verify,Verify
column.Language,Language,Language
custom_header.location_level_ten,{UploadLocations:uLocationLevelTen},{UploadLocations:uLocationLevelTen}
view_heading.Manage_Role_Groups,Manage Role Groups,Manage Role Groups
table_title.Locations,Locations,Locations
table_heading.Available_Object_Types,Available Object Types,Available Object Types
input_label.is_mobile_role,Is mobile role,Is mobile role
custom_header.question_8,{Reportviewer:uQuestion8Header},{Reportviewer:uQuestion8Header}
reportstableheading.Products_Redeemed_Report,Products Redeemed Report,Products Redeemed Report
